1. Poloniex
5,KhanCoin,KNC/BTC,$ 8,$ 0.113634,0.39 %
6,Dash,DASH/BTC,$ 0,$ 0,0.00 %
7,Peercoin,PPC/BTC,$ 0,$ 0,0.00 %
8,SIBCoin,SIB/BTC,$ 0,$ 0.105217,0.00 %
9,Creditbit,CRBIT/BTC,$ 0,$ 0.032823,0.00 %
10,BlackCoin,BLK/BTC,$ 0,$ 0,0.00 %
View More
Total,"$ 1,988",,
56. Cryptomate
1,Ethereum,ETH/EUR,"$ 1,134",$ 13.21,68.23 %
2,Bitcoin,BTC/EUR,$ 528,$ 507.88,31.77 %
3,Ripple,XRP/EUR,$ 0,$ 0.011390,0.00 %
Total,"$ 1,662",,
57. Cryptonit
1,Bitcoin,BTC/USD,"$ 1,391",$ 417.63,100.00 %
2,Litecoin,LTC/BTC,$ 0,$ 3.17,0.00 %
3,Namecoin,NMC/USD,$ 0,$ 0.429576,0.00 %
4,Namecoin,NMC/BTC,$ 0,$ 0.464223,0.00 %
5,Peercoin,PPC/USD,$ 0,$ 0.502119,0.00 %
6,Peercoin,PPC/BTC,$ 0,$ 0.529037,0.00 %
7,Litecoin,LTC/EUR,$ 0,$ 3.45,0.00 %
8,Bitcoin,BTC/EUR,$ 0,$ 433.94,0.00 %
9,Namecoin,NMC/EUR,$ 0,$ 1.05,0.00 %
10,Peercoin,PPC/EUR,$ 0,$ 0.170847,0.00 %
View More
Total,"$ 1,391",,
58. alcurEX
1,microCoin,MRC/BTC,$ 880,$ 0.000004,68.57 %
